loan_id,account_id,status,loan_date,loan_amount,duration,payments,owner_district_id,client_age,client_gender,account_district_id,frequency,account_date,birthdate,transaction_date_max,transaction_date_min,operation_count,amount_mean,amount_min,amount_max,amount_std,amount_last,amount_abs_min,amount_rangev,balance_mean,balance_min,balance_max,balance_std,balance_last,balance_abs_min,balance_rangev,type_count_in,type_count_out,type_mean_in,type_mean_out,disp_id_count,card_type_count_gold,card_type_count_classic,card_type_count_junior,account_region,account_no. of inhabitants,account_average salary,account_unemploymant rate '95,account_unemploymant rate '96,account_no. of enterpreneurs per 1000 inhabitants,account_no. of commited crimes '95,account_no. of commited crimes '96
5314,1787,yes,1993-07-05,96396,12,8033,30,74,F,30,weekly issuance,1993-03-22,1947-07-22,1993-06-20,1993-03-22,4,5025.0,1100.0,9900.0,3774.8068383251966,3300.0,1100.0,8800.0,12250.0,1100.0,20100.0,8330.8663014919,20100.0,1100.0,19000.0,4,0,1.0,0.0,1,0,0,0,west Bohemia,94812,9650,3.38,3.67,100,2985,2804
5316,1801,no,1993-07-11,165960,36,4610,46,53,M,46,monthly issuance,1993-02-13,1968-07-22,1993-07-09,1993-02-13,37,1411.051351351351,-54300.0,36574.0,17882.99905901663,-3419.0,2.9,90874.0,52083.85945945945,700.0,120512.8,29122.05945394563,52208.9,700.0,119812.8,17,20,0.4594594594594595,0.5405405405405406,1,0,0,0,east Bohemia,112709,8369,1.79,2.31,117,2854,2618
6863,9188,no,1993-07-28,127080,60,2118,45,85,M,45,monthly issuance,1993-02-08,1936-06-02,1993-07-21,1993-02-08,24,844.7083333333336,-14800.0,19065.0,8272.421582632085,-12000.0,48.6,33865.0,30060.95416666668,800.0,49590.4,11520.18445104369,20272.8,800.0,48790.4,15,9,0.625,0.375,1,0,0,0,east Bohemia,77917,8390,2.28,2.89,132,2080,2122
5325,1843,no,1993-08-03,105804,36,2939,14,81,F,12,monthly issuance,1993-01-30,1940-04-20,1993-07-31,1993-01-30,25,1371.7040000000006,-15600.0,26448.0,11376.124631125487,-14.6,14.6,42048.0,41297.479999999996,1000.0,65898.5,14151.260443037105,34292.7,1000.0,64898.5,13,12,0.52,0.48,1,0,0,0,central Bohemia,107870,8754,3.83,4.31,137,3804,3868
7240,11013,no,1993-09-06,274740,60,4579,63,43,M,1,weekly issuance,1993-02-14,1978-09-07,1993-08-31,1993-02-14,27,1522.7074074074083,-36700.0,63366.0,27294.178010421165,182.8,30.0,100066.0,57188.21111111113,600.0,122893.1,25256.6658167142,41142.9,600.0,122293.1,13,14,0.48148148148148145,0.5185185185185185,1,0,0,0,Prague,1204953,12541,0.29,0.43,167,85677,99107
6687,8261,no,1993-09-13,87840,24,3660,13,41,F,13,monthly issuance,1993-05-12,1980-02-16,1993-09-09,1993-05-12,17,2579.2823529411767,-22000.0,32938.0,15010.214805518079,-22000.0,51.3,54938.0,46318.55294117648,500.0,65847.8,20670.97738216307,43847.8,500.0,65347.8,14,3,0.8235294117647058,0.17647058823529413,2,0,0,0,central Bohemia,53921,8598,2.77,3.26,123,1597,1875
7284,11265,no,1993-09-15,52788,12,4399,15,48,M,15,monthly issuance,1993-01-14,1973-02-16,1993-09-11,1993-01-14,43,489.0465116279071,-17920.0,11427.0,5366.660290576611,1900.0,14.6,29347.0,22198.179069767448,1000.0,41469.1,6652.642956340849,21029.0,1000.0,40469.1,21,22,0.4883720930232558,0.5116279069767442,1,0,0,0,south Bohemia,58796,9045,3.13,3.6,124,1845,1879
6111,5428,yes,1993-09-24,174744,24,7281,24,73,F,24,monthly issuance,1993-04-14,1948-08-12,1993-09-21,1993-04-14,32,1816.9,-52600.0,47436.0,18855.75071096861,40175.0,14.6,100036.0,37485.456249999996,1000.0,105628.0,28302.653142986743,58140.9,1000.0,104628.0,16,16,0.5,0.5,1,0,0,0,west Bohemia,122603,8991,1.39,2.01,128,5198,5273
7235,10973,no,1993-10-13,154416,48,3217,18,52,F,18,weekly issuance,1993-04-20,1969-05-25,1993-10-08,1993-04-20,32,1668.8374999999996,-19200.0,39098.0,14354.290498364997,-2600.0,13.6,58298.0,46715.8,8897.0,81723.5,20286.965558464442,53402.7,8897.0,72826.5,16,16,0.5,0.5,1,0,0,0,south Bohemia,70699,8968,2.83,3.35,131,1740,1910
5997,4894,no,1993-11-04,117024,24,4876,14,86,M,14,monthly issuance,1993-06-20,1935-10-03,1993-10-31,1993-06-20,13,4091.8076923076933,-24000.0,29255.0,19509.74139421388,208.3,45.1,53255.0,44131.16923076923,800.0,76985.2,19844.247591152816,53193.5,800.0,76185.2,9,4,0.6923076923076923,0.3076923076923077,1,0,0,0,south Bohemia,177686,10045,1.42,1.71,135,6604,6295
